Timestamp,AirPressure,AirTemperatureA,AirHumidity,AirTemperatureB,V450,B500,G550,Y570,O600,R650,SoilTemperatureA,SoilTemperatureB,TotalLuminosity
5/19/2023 6:00,996_2372437,11_77592468,99_47814941,13_23478413,83_88314056,117_7226639,68_15180969,78_5996933,52_48752594,70_08139038,16,14_296875,470_9262238
5/19/2023 7:00,996_9031982,12_61315918,97_84851074,13_60236835,99_39533997,115_7473602,70_52909851,80_16407776,55_27429581,68_08403778,15_890625,14_5,489_19421
5/19/2023 8:00,997_1611938,15_11141968,99_99694824,15_22376728,283_1304321,396_5363159,255_8157043,288_6552734,226_8030701,219_9444275,15_7578125,14_640625,1670_885223
5/19/2023 9:00,997_3005981,25_53149414,99_99694824,18_96003532,324_5397034,477_5358276,269_6703796,306_6051025,234_8835297,207_842041,15_6640625,17_3203125,1821_076584
5/19/2023 10:00,996_9877319,24_80944824,99_99694824,20_05271721,788_0322876,1555_402466,814_3748779,983_4940186,666_4710083,645_8967896,15_6171875,19_0234375,5453_671448
5/19/2023 11:00,997_0175781,31_3371582,87_98828125,23_42140007,783_12677,1512_196777,586_100708,768_2382813,530_4649658,752_0413818,15_6640625,21_84375,4932_168884
5/19/2023 12:00,996_6201782,35_84424591,55_67016602,29_22721672,844_9957886,1266_025269,545_0614624,722_6989136,523_1989136,866_9628296,15_8203125,25_0234375,4768_943177
5/19/2023 13:00,996_6048584,25_71074677,63_48876953,23_50700188,578_9919434,565_4902954,491_2800293,517_6656494,463_296936,446_9771729,16_0625,23_21875,3063_702026
5/19/2023 14:00,996_1400757,26_76489258,67_77648926,24_93202019,621_2381592,816_4542847,488_8921204,608_0533447,432_9121094,605_1004639,16_390625,22_9453125,3572_650482
5/19/2023 15:00,995_3700562,23_4945755,66_47644043,23_08402824,208_486908,201_776825,108_7186432,123_9259033,98_13567352,118_1982117,16_6953125,21_984375,859_2421647
5/19/2023 16:00,995_333374,21_93358612,71_44470215,22_20283318,151_0326843,143_2146759,81_48509216,89_00073242,72_74494934,79_19464111,16_9453125,20_703125,616_6727752
5/19/2023 17:00,996_4191284,22_79499054,73_01940918,22_33375359,269_7842712,353_2252808,219_3606262,269_2654114,185_90271,263_8096924,17_1171875,20_484375,1561_347992
5/19/2023 18:00,995_8786621,19_78652191,78_7322998,19_96208,77_55880737,100_9985275,50_05926895,63_79854202,37_50101089,46_48410034,17_21875,19_7265625,376_4002571
5/19/2023 19:00,995_9174805,14_52928162,99_99694824,15_20866108,40_37817383,44_82290268,28_50037575,31_51964951,23_07518578,29_89380455,17_2890625,18_0390625,198_1900921
5/19/2023 20:00,995_9719238,14_05671692,99_99694824,14_77058125,2_667870283,2_88460207,1_323070765,1_385466099,0_875853658,1_41059494,17_3125,17_5703125,10_54745781
